ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=*My Career Objectives* – Get a job with a $200,000 annual salary. – Get a job in AI, machine learning, natural language processing, or data science. – Get a job in leadership. – Get a job in the healthcare, life science, or finance industry. – Work in the office. – Work near XXX, XXX. – Work at a company with significant growth potential for me and the business. - Support my wife as she transitions to a stay-at-home wife who cares for the house and kids., spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:104789802, radiusInKms=80.467}]}}, facets={}}",8054941042
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=engineering manager, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103644278}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",7740759498
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=data engineer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103644278}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",7740759490
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=chief solutions architect, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:104789802, radiusInKms=40.2335}]}}, facets={timePostedRanges={countOnlyValues=[{com.linkedin.common.TimeSpan={duration=1, unit=DAY}}, {com.linkedin.common.TimeSpan={duration=1, unit=WEEK}}, {com.linkedin.common.TimeSpan={duration=30, unit=DAY}}, {com.linkedin.common.TimeRange={}}]}, workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:3]}}}",7404847578
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=chief system architect, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:104789802, radiusInKms=40.2335}]}}, facets={timePostedRanges={countOnlyValues=[{com.linkedin.common.TimeSpan={duration=1, unit=DAY}}, {com.linkedin.common.TimeSpan={duration=1, unit=WEEK}}, {com.linkedin.common.TimeSpan={duration=30, unit=DAY}}, {com.linkedin.common.TimeRange={}}]}, workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:3]}}}",7404847570
