Title,Description,Issued On
First place in the Code category for HACKATHON clt,"The goal was to predict, model, plan and present the best, most attractive and creative ways to deliver groceries to customers. Our team name was HT CoDelivery and we were out to ""Deliver Groceries Together."" We found a simple approach that easily integrated with Harris Teeter's way of doing things. Our idea was relatively easy to implement and aligned with Harris Teeter's mission. Check out our winning project on GitHub: https://github.com/praeducer/htcodelivery",Mar 2015
Nominated for Global Business Support’s “Entrepreneur of the Year”,,2013
Graduated Cum Laude,,May 2012
Graduated High Honors,,Dec 2007
