Saved Date,Job Url,Job Title,Company Name
"7/12/24, 1:41 PM",http://www.linkedin.com/jobs/view/3920906868,Lead AI/ML Engineer - Remote,Optum
"7/8/24, 4:47 PM",http://www.linkedin.com/jobs/view/3826534140,"Managing Partner, Healthcare - Gartner IT Strategy Consulting",Gartner
"6/26/24, 8:45 AM",http://www.linkedin.com/jobs/view/3923063730,Integrated Technology Lead,Electronic Arts (EA)
"8/8/24, 3:15 PM",http://www.linkedin.com/jobs/view/3905338149,Senior Pipeline Manager,Qcells North America
"7/2/24, 3:44 AM",http://www.linkedin.com/jobs/view/3930826025,Outcomes & Biostatistics Manager,WebMD
"6/28/24, 6:01 AM",http://www.linkedin.com/jobs/view/3940027635,Sr. Solutions Consultant - Data Engineering,Databricks
"6/28/24, 11:19 AM",http://www.linkedin.com/jobs/view/3940056387,"Solutions Architect, Generative AI Specialist",NVIDIA
"7/17/24, 3:46 PM",http://www.linkedin.com/jobs/view/3934933266,AI/ML Solution Architect,Ford Motor Company
"7/2/24, 3:13 PM",http://www.linkedin.com/jobs/view/3905136307,Enterprise AI Architect,Oracle
"7/1/24, 8:13 PM",http://www.linkedin.com/jobs/view/3919375583,Biomedical Data Health Senior Consultant,Deloitte
"6/17/24, 2:07 PM",http://www.linkedin.com/jobs/view/3877009937,,
"7/3/24, 2:36 PM",http://www.linkedin.com/jobs/view/3912070769,"Area Vice President, South",Tempus AI
"6/12/24, 8:45 AM",http://www.linkedin.com/jobs/view/3896458350,Systems Architect- AI and IoT,SAS
"8/27/24, 11:23 AM",http://www.linkedin.com/jobs/view/3931586948,Intelligence System Engineer II (EIS),Qcells North America
"7/17/24, 9:49 PM",http://www.linkedin.com/jobs/view/3911562031,Senior Solutions Architect,NVIDIA
"7/24/24, 1:56 AM",http://www.linkedin.com/jobs/view/3816341070,,
"10/2/24, 8:53 PM",http://www.linkedin.com/jobs/view/3914602391,Assistant Vice President for Innovation and Commercialization,Kennesaw State University
"6/16/24, 8:50 PM",http://www.linkedin.com/jobs/view/3860985725,,
